text,label,reasons
"P.S. It's probably worth setting up a template to be used for all the periods, so they can easily be kept in the same format.  It would make it easier for me, for example, to remove the padding around the timeline if I could do it in one place. ' T'''",safe,[]
"""

 Reply 

Great! Nice to see you back. Did you see WP:CELTICS and WP:BOSOX? -  Favorite '''''Cookie """,safe,[]
"""
 After looking at a few sources it seems that you are correct. I've changed the article to reflect this.  (talk|contribs)  """,safe,[]
"""
That's just what I was thinking of! I'll nominate it.  (talk) """,safe,[]
ps. also guys I KNOW we are lazy as fuck but come on we have to..well...stop being lazy! Get some work done XD,toxic,"['toxic', 'obscene', 'insult']"
"Plot summary? 

Shouldn't someone, y'know...put up a summary of what happens in the film? I don't feel like seeing it myself...",safe,[]
"Guess I hit a nerve, huh? Are you dropping out of my the fanclub now?",safe,[]
"""
Ok. Yeah, I realised that too: She knows I didn't personally attack Ambi, that's obvious: Just trying to wind me up so she can then play """"I'm the good one, she's the angry nasty one"""".

I hate people like that...  (Α⇔Ω ¦ ⇒✉) """,toxic,['toxic']
Thanks. I'm going to avoid interacting with this user directly from now on. Some of the edits I made definitely were petty and unnecessary and just helped to inflame the situation. At this point I think the admins are aware of my concerns so I'll just let them take it from here and drop the issue.,safe,[]
Hey there you are on google. I get the last say! 'There is 5 senses only!!!!!!! Everybody really only does want immortality foreeevvver!!!!!!!!!!!!!!!! Errrrasee that shittttttttt!!!!!!!!!!!!!!!!!!!!!!!!!!!! Stuppidd plato and old shit and wrong shit!!!!! I'm the best best I'b thought all out! You nonesense useless bastard! Go to hell.,toxic,"['toxic', 'obscene', 'insult']"
"Firśt, I aṃ ģoinģ ţo ţie ŷou uṗ and keeṗ ŷou çonśçiouś durinģ ţhe folloŵinģ ṗroçeśś ţhrough ţhe uśe of aṃṃonia. Nexţ, I ŵill ṃuţilaţe ŷour ģeniţalś and forçe ŷou ţo eaţ ţheṃ. Then I ŵill çuţ off biţś of ŷour śkin and ṃake a ģlove ouţ of ţhe śkin from ŷour hand. I ŵill ţhen çuţ oṗen ŷour ģuţ and ṗull ouţ ŷour çolon. I ŵill uśe ŷour çolon for ṃaśţurbaţion, and ŵhen I am done I ŵill śhove iţ down ŷour ţhroaţ. Finally, I ŵill diśṗośe of ŷour body by deṗosiţinģ iţ in a duṃṗ ŵhere iţ belonģś.",toxic,"['toxic', 'obscene', 'threat']"
"Why are you threatening me? I'm not being disruptive, its you who is being disruptive.",toxic,['toxic']
"Hey static, piss off because i provided proof with a link now stop changing every single edit i make you little fairy.",toxic,['toxic']
I love dicks in my butt. ([[User,toxic,"['toxic', 'obscene']"
"Tard, my IP changes every time I reset my router. Your a wiki Nazi.",toxic,['toxic']
"""
Yeah, audio examples would be illustrative.  —  [ãːɱ ˈfɹ̠ˤʷɪ̃ə̃nlɪ] """,safe,[]
"Czechs killed off over 90% of the Roma population during WW II ? 
For heaven's sake! Even as a joke it is not hilarious. Contributions to Czech culture??? LOL! The person must be mentally ill.",toxic,"['toxic', 'insult']"
"Your recent edits to Danity Kane 

Thanks for contributing to Wikipedia.  Unfortunately, the commercial links/content you added  were inappropriate, as Wikipedia is an encyclopedia and should not be used for advertising or a collection of external links.  See the welcome page if you'd like to learn more about contributing to the encyclopedia.  Thanks! —(talk • contribs)",safe,[]
"Communist bastard

I have nothing more.",toxic,"['toxic', 'obscene', 'insult']"
"Fucking read this. 

http://en.wikipedia.org/wiki/Wikipedia:What_Wikipedia_is_not#Wikipedia_is_not_an_indiscriminate_collection_of_information",toxic,"['toxic', 'obscene']"
"Continuing to learn to fuck off. 

Continuing to tell me to stop changing my page will result in me changing the page back to how I put it. As it is my page, fuck off.",toxic,"['toxic', 'obscene']"
"You're a smug, disruptive asshole.  I can't believe you're monitoring my talk and userpage so closely as to be replying 10 minutes after I do.",toxic,"['toxic', 'obscene', 'insult']"
"""

 RE: NAIR!!! 

Sorry Karl, I wasn't able to see your Mason article in time cuz they deleted it already b4 I got home from school today....oh well. And yes you are absolutely right we won't ever stop making fun of her......in fact, if anyone in our group of peeps refuses to make fun of her.......i shall kill them..... Higgins!!!!!!!! No more wh*r* who wont shut up about her taxes about which no one cares, no more NAIR-chinned old hag, no more hunchback Bailey obsessed geezer who says """"if ya want to........."""" and finally, no more pot-smoking sexist b*tch hippie with all her f*ck*ng """"awwwwwwwwwww""""s and """"so true..........""""s who if i ever see her this summer im gonna give her a taste of her own medicine and roll her up in piece of paper and light 'er up and smoke up the wazoo!!!!!!!!!!!!! HIPPIE!!!!!!!!!!!!!!!  """,toxic,"['toxic', 'obscene', 'threat', 'insult', 'identity_hate']"
"STILL DONT GIVE A FUHK 
 GET OFF MY PAGE BRO",toxic,"['toxic', 'obscene']"
"not know to this day what
               Devil brought them into our country. We did not fetch them
               from Jerusalem!... Yes, we have and hold them captive, as I
               would like to keep my rheumatism, and all other diseases and
               misfortunes, who must wait as a poor servant, with money and
               property and everything I have! I wish they were in hell
               with the other Jews and whomsoever they would like to have
               with them.",toxic,"['toxic', 'identity_hate']"
"""
I promise not to attack Giggett, as of that day.  Perry """,safe,[]
"=Stupid Texans

It's funny how this is a part of Texas history and yet everyone in Texas today is a stupid redneck who can't speak a word of French, or Spanish, or any language other than English for that matter.",toxic,['toxic']
"Most mountains are part of a mountain chain/range, and while many are tall, their prominence is reduced due to them being part of a, say, ridge. The piece of information concerning prominence and membership in a given chain, if any, is vital. It's not a matter of life and death, but your edit removes that information. Reword, by all means, if you hate the word 'standalone', but include that information. If you don't, I will have to put it back as it was. —",safe,[]
I am a dubass who knows nothing about Hinduism.,toxic,"['toxic', 'obscene']"
"Free Imperial City of Cologne  

You'd need to get agreement to do this, and there's a copyvio issue also.",safe,[]
"Email 1 and Agenda - week 29 Sept 2009 

First Email and Agenda: WEEK 0

There will be scheduled meetings on every Tuesday at 14:00 in room 111. All group members are required to attend these meetings. Please remember that success of group projects highly depend upon productive group meetings, so please try to make every single one of them.
 
These meetings will start from next week, 6th October Tuesday. I would be heading the first meeting as the Chairperson and Sam would be the Secretory. The post of the chairperson and secretory would keep on rotating so that everyone is involved in this group project.
 
As discussed in today's meeting there are a few tasks that need to be addressed before the meeting on Tuesday, 6th October; which are as follows:
 
    *
      Setting up a Wiki Forum to have an effective group communication system and also providing easy access to the projectmaterial to all the group members. Tejal volunteered to set up the forum. All details of it will be passed on to all of you as soonas it is finished.
    *
      Coming up with conceptual design and ideas for the payload because as we all know payload is most important driver of thesatellite design, so ideally that would be the first step in our project.
    *
      Also please note down the email IDs of all the group members for future contact. And don't forget to buy a log book foryourselves.

If you have any further queries please don't hesitate to contact me.

Best Regards 

Mudassir Farooq - Chairman for Week: 29 Sept 2009 - 6th Oct 2009",safe,[]
"""

 Non-enyclopedic? 

""""On February 24, 1943, Iowa put to sea for shakedown in the Chesapeake Bay and along the Atlantic coast. She got underway on August 27 for Argentia, Newfoundland to neutralise the threat of German battleship Tirpitz which was reportedly operating in Norwegian waters.""""

The terms/word """"put to sea"""", """"shakedown"""", """"underway"""", as well as calling it """"she"""" seems non-encyclopedic to me, and is more colloquial than should be. Something should be donw about this. Also, I'm changing """"neutralise"""" to the correct spelling of """"neutralize"""", with a """"z"""". """,safe,[]
"Block of Neuromancer 

Your block of Neuromancer, and your reasons, are unjust and amount to bullying. I have read all of his arguments and they are in good faith, intelligent, and show no arguing or forcing of points. This really seems like a political issue. Shame on you.",toxic,['toxic']
", at least whenever they needed",safe,[]
Thanks for pulling me into line Mike . I don't know what the fuck I would do without a wikinazi like you to help make something of myself. How do you know if Karl Stefanovic is not humanoid? Have you ever met him? No. Then revert back to my edit. You are a cunt.,toxic,"['toxic', 'obscene', 'insult']"
"""

 What the HELL is your problem? 

""""Duck test?""""  Your repeated, unwarranted blockings are beginning to border on the obsessive and the abusive.  I would suggest that you take whatever problems you have with this person or persons and discuss them in a calm and orderly fashion in the guise of what you claim yourself to be.  Otherwise, your credibility on Wikipedia seems suspect, the circumstances under which your behavior arrives becomes questionable and unvalidated, and you yourself come under the microscope as possibly being biased and badly behaved in the capacity of an admin on Wikipedia.  """,toxic,['toxic']
Thank you Squiddy! (but I still think it will get reverted just because I'm a sceptic!).,safe,[]
"It looks good to me, but can you make the size smaller so that it is similar to other sizes of other userboxes. Other than that, it looks fine. Please tell me the final name of the userbox so I can put it on my page. Thanks again.",safe,[]
"I understand Harold Thomas accepted a payment from the Commonwealth for his intellectual property claim on the Aboriginal flag, and he has no veto over its use.",safe,[]
"HMMMM.... 

Uhh...Why are you such an asshole? So I'm not allowed to add a genre to the list? It simply states that I can..and anyone can..hmm...

Fascism at it's finest, eh?",toxic,['toxic']
"Well, it still needs expansion in areas, citations in others, more images (was going to get a pic of the Stanley Cup banner tonight at the Hitmen game, but forgot my camera) and a thorough review/copy edit by someone with a better flair for words than I, but work progresses.  lute",safe,[]
"LGagnon 
i for one, think lgagnon is a big fat cock sucker.  lgagnon? Lgagnon my nuts.",toxic,"['toxic', 'severe_toxic', 'obscene', 'insult']"
"I'm sure a collective term has been invented at some time in the past in the same way that it was once a popular hobby to invent such terms for groups of birds and animals, but I'd be suprised if anyone had ever used it in preference to 'people of Reading'. If such a term does exist, I've yet to come across it and I really don't think it would merit inclusion.",safe,[]
"""

Sockpuppet investigation
 -Talk to Me! """,safe,[]
"""Welcome!

Hello, , and welcome to Wikipedia! Thank you for your contributions. I hope you like the place and decide to stay. Here are a few good links for newcomers:
The five pillars of Wikipedia
How to edit a page
Help pages
Tutorial
How to write a great article
Manual of Style
I hope you enjoy editing here and being a Wikipedian! Please sign your name on talk pages using four tildes (~~~~); this will automatically produce your name and the date. If you need help, check out Wikipedia:Where to ask a question, ask me on my talk page, or place {{helpme}} on your talk page and someone will show up shortly to answer your questions. Again, welcome! 
|(talk)| """,safe,[]
"""As the aim of this project is apparently to give license to administrators to circumvent process, common sense, and neutrality on every level now, go ahead and block me. Your corrupt natures will eventually lead to the ruin of this project, and it's only a matter of time until the MONGOs (Hi Omaha, USDHS, Gay Republicans), Fred Bauders (did you know he's not a retired attorney, but disbarred in Colorado for solicitation of a prostitute?), Cydes (Hi Ben), and Kelly Martins (Hi Mr. Scott) of the world completely ruin the project? Can't wait for that media spotlight to come shining in! Oh yes. Oh yes. Leaks are coming that Jimbo couldn't fill in with all the little Dutch Boys in Europe.  (T)  

""",safe,[]
PLEASE STOP VANDALISING MY USER TALK PAGE,safe,[]
"Jerk Off!
I can't believe you! Not only did you have the audacity to delete my page about Mr. Jett Odle I, you also reported me. Let me tell you something you jerk, you are a JEW!",toxic,"['toxic', 'insult', 'identity_hate']"
"Horrible horrible... 

...little shit, That's what you are. Horrible horrible....

...things are going to happen to you, you meddling little fuck! 217.41.238.156",toxic,"['toxic', 'obscene', 'insult']"
"""
Please show me where in the source the material attributed exists. I couldn't find it. I started a section for such discussions below.   

If any of my fellow editors feel my actions step over the line of civility or produce an environment which retards the development of Wikipedia I urge you to read Disruptive_editing and follow the steps involved in it. Specifically the section """"Dealing with disruptive editors"""". If you are unfamilar with Wikipedia I will endevour to assist you in the process of filing a Wikipedia:Requests for comment/User conduct for me. Which, if I am found in serious error, will result in me being blocked or banned. Learning how to use such tools empowers you and makes you a more effective editor IMHO.

For me, leaving unsourced material in an article does not promote NPOV but only confuses readers and dilutes the value of sourced material. I see no possibility of accurately balancing unsourced material from different sides. 

The current version with the unsourced material will remain available, as a previous version, for those editors who wish to find relevant cites in the future. 

This is a level playing field - Verifiability: The threshold for inclusion in Wikipedia is verifiability, not truth.   """,safe,[]
"""
Well it's understandable not wanting the infobox to be overfilled with info. As for the family, spouses and children have around as much impact on decisions as religion, so why include that? And for politicians, most of them are married and have kids, so it would do well to include this info either for all, or just the few that are divorced or single. And as for the """"alma mater"""" section, I believe it's essential to display what degree(s) they earned, as alma mater is just what schools were attended, and could confuse readers. I hope we can compromise on this.  (What'd I do this time?) """,safe,[]
what the hell is your problem dumbass,toxic,"['toxic', 'obscene', 'insult']"
REDIRECT Talk:List of Afghanistan War (2001–present) documentaries,safe,[]
what happens mamas boy bitch steve,toxic,['toxic']
asshole im still editing,toxic,"['toxic', 'obscene', 'insult']"
"per WP:Fresh start and due to constructive edits that only improve Wikipedia.  No one who actually wants to build an encyclopedia has any issues with me and nor would they.  Bad faith and disruptive deletionist account Kww has an obvious conflict of interest (see his RfAs) and should have nothing to do administratively with regards to me.  If this request needs to be forwarded to arbitrators, please do so.  Thank you for your time and help!",safe,[]
"""

Negal/Nergal
I did provide a citation:  that the spelling was given as """"Nergal"""" in the reprint in Weird Secret Origins, which you can see on Nergal if you haven't reverted it.  """,safe,[]
"I realize now that the article doesn't quite say what I thought it said. If anyone can find a citation stating that there exists a proper subfield of  isomorphic to itself, I would be very interested in seeing it (and we could reinclude the clause with the citation).",safe,[]
"I don't think I'd like to be on ArbCom. That might change someday, but right now its definitely not something I would want to do. Thanks for the vote of confidence all the same )",safe,[]
"""

First of all SarekOfVulcan still did not get back to me to disscus """"civilized"""". Instead NotARealWord added some non-sense. It seems that this is your style, how many, 3-5 editors keep moving around """"replying"""" to me. Anyway I CANNOT BELIEVE MY EYES READING WHAT NotARealWord just wrote above. 
NotARealWord said, quote """"What do you mean? The statement about their """"100% clean award"""" is cited."""" Are you for real, or you want to insult my/users’ intelligence? What, you have another set of policies about reliable sources and self promotion means? WHO MADE THAT STATEMENT ABOUT 100% CLEAN AWARD? Can you answer me SAREKofVULCAN? My feeling is that the guy from Softpedia entered that...what a reliable source. Secondly, what does it means """"100% clean AWARED""""? Is this “award” given by a reliable, verifiable source/body/entity, maybe Golden Globes? NO, that comes from the same """"reliable source"""", softpedia. And 3r, THIS IS PROOF THAT AMOUNG this team of editors that are against me, are some like (NotARealWord) which is (SAREK here is another personal attack according to your definition) or in a hurry to close my mouth, or just incompetent. 

Here is my proof;  NotARealWord said """"the statement about their """"100% clean award"""" is cited"""". 

And read what is on the page (http://en.wikipedia.org/wiki/Softpedia)now: """"programs which are also freeware or open source are given Softpedia's """"100% Free"""" award.[4][non-primary source needed]""""

Where is your non-primary source SAREK and Wikipedia and David Biddulph (David added this """"fault pas"""" in NotARealWord's name)
? 
Regarding the 2nd point that I did not insert a name of a reliable source, we debated that, I inserted more sources but none is for you guys (I will start to differentiate between you, editors, and Wikipedia, in my naiveté, I still want to believe that how you act is not actually Wikipedia's way to work) a reliable one.  

Conclusion: my belief is that (I cannot pinpoint) or/and there is a matter of incompetence from the editor's part, some Wikipedia/Softpedia interests or just a vendetta.

I still hope to hear from you SAREK, to discuss this points “civilized” (I think, I am doing my part buy you don’t do yours). 

Picard out.     """,toxic,['toxic']
"I'm Sorry about all the trouble. 

Yes, this is one of my accounts related to User:Rainbowwarrior1977.  I admit that User:Shelburne_Kismaayo and I are related somewhat, but I swear up and down that I have nothing at all to do with that User:Wiki_brah character.  Do I seem like that guy at all?  Shelburne was an obvious doppelganger, I know, but I don't think that Wiki_brah guy, whoever the hell he is, should be caught up in all this.  I'm willing to accept my ban but I hate for innocents to be caught up in it.  Anyway, I had even targetted Wiki_brah for a bit, along with User:Paul_Klenk, posing as User:TheDeletator, who I'm sure you know was also related to me.  Why would I take the trouble to compose a Request for Comment against myself?  It doesnt make sense.  So please re-consider the block on User:Wiki_brah.  You yourself believed him to be who he claimed to be, and who really could be that but him? 

On a related note, would it be too much to ask that in the future, when you make sock-check requests, you do it in the open like everyone else, by posting to a developer's talk page instead of in private?",safe,[]
